Sentiment,Text
-1,"Not as described, waste of money."
0,"Decent quality, but could be better."
1,I love this product! It's amazing!
-1,Customer service was unhelpful.
-1,"Not as described, waste of money."
-1,Would not recommend this to anyone.
1,Best purchase I have made in a while!
0,"Average product, does the job."
-1,Would not recommend this to anyone.
0,"It's okay, nothing special."
1,"Exceeded my expectations, highly recommend!"
-1,Would not recommend this to anyone.
-1,Would not recommend this to anyone.
1,Great quality and fast shipping.
-1,Would not recommend this to anyone.
1,"Fantastic service, will buy again."
0,"Just an ordinary item, nothing to complain about."
1,"Exceeded my expectations, highly recommend!"
0,"Average product, does the job."
0,"Decent quality, but could be better."
-1,Would not recommend this to anyone.
1,Best purchase I have made in a while!
0,"Decent quality, but could be better."
-1,The product broke within a week.
0,"It's okay, nothing special."
1,I love this product! It's amazing!
1,"Fantastic service, will buy again."
0,"Just an ordinary item, nothing to complain about."
-1,Customer service was unhelpful.
0,"Decent quality, but could be better."
1,Best purchase I have made in a while!
1,Great quality and fast shipping.
1,I love this product! It's amazing!
-1,The product broke within a week.
-1,Would not recommend this to anyone.
1,Best purchase I have made in a while!
-1,"Terrible experience, very disappointed."
0,"Average product, does the job."
-1,Would not recommend this to anyone.
1,Best purchase I have made in a while!
-1,Would not recommend this to anyone.
1,"Fantastic service, will buy again."
1,Great quality and fast shipping.
-1,"Not as described, waste of money."
1,"Exceeded my expectations, highly recommend!"
-1,The product broke within a week.
1,Best purchase I have made in a while!
-1,Customer service was unhelpful.
-1,Customer service was unhelpful.
0,"Average product, does the job."
1,Great quality and fast shipping.
-1,Would not recommend this to anyone.
-1,Customer service was unhelpful.
1,Great quality and fast shipping.
0,"Not bad, but not great either."
0,"Average product, does the job."
0,"Average product, does the job."
1,"Fantastic service, will buy again."
1,Great quality and fast shipping.
1,Great quality and fast shipping.
1,"Exceeded my expectations, highly recommend!"
0,"It's okay, nothing special."
-1,The product broke within a week.
0,"Average product, does the job."
0,"Just an ordinary item, nothing to complain about."
1,I love this product! It's amazing!
-1,Would not recommend this to anyone.
0,"Just an ordinary item, nothing to complain about."
0,"Decent quality, but could be better."
-1,Would not recommend this to anyone.
0,"Decent quality, but could be better."
-1,"Not as described, waste of money."
0,"Decent quality, but could be better."
-1,Customer service was unhelpful.
-1,Customer service was unhelpful.
0,"It's okay, nothing special."
0,"Average product, does the job."
1,Best purchase I have made in a while!
1,Great quality and fast shipping.
0,"Average product, does the job."
0,"Just an ordinary item, nothing to complain about."
0,"It's okay, nothing special."
0,"It's okay, nothing special."
0,"Not bad, but not great either."
1,"Fantastic service, will buy again."
1,I love this product! It's amazing!
1,"Fantastic service, will buy again."
0,"It's okay, nothing special."
1,"Fantastic service, will buy again."
-1,Would not recommend this to anyone.
0,"Average product, does the job."
-1,"Terrible experience, very disappointed."
1,I love this product! It's amazing!
1,I love this product! It's amazing!
1,"Fantastic service, will buy again."
-1,Customer service was unhelpful.
-1,Would not recommend this to anyone.
1,I love this product! It's amazing!
0,"Average product, does the job."
1,Great quality and fast shipping.
1,Great quality and fast shipping.
-1,Would not recommend this to anyone.
0,"Just an ordinary item, nothing to complain about."
0,"Just an ordinary item, nothing to complain about."
-1,"Terrible experience, very disappointed."
-1,Would not recommend this to anyone.
0,"Just an ordinary item, nothing to complain about."
0,"Just an ordinary item, nothing to complain about."
0,"Not bad, but not great either."
1,Best purchase I have made in a while!
-1,"Not as described, waste of money."
0,"It's okay, nothing special."
-1,The product broke within a week.
0,"It's okay, nothing special."
1,Best purchase I have made in a while!
-1,"Not as described, waste of money."
0,"Not bad, but not great either."
1,"Fantastic service, will buy again."
1,"Fantastic service, will buy again."
1,Best purchase I have made in a while!
0,"Just an ordinary item, nothing to complain about."
-1,The product broke within a week.
-1,Customer service was unhelpful.
1,I love this product! It's amazing!
1,Great quality and fast shipping.
-1,Would not recommend this to anyone.
0,"Not bad, but not great either."
-1,Customer service was unhelpful.
1,Best purchase I have made in a while!
-1,Would not recommend this to anyone.
0,"Just an ordinary item, nothing to complain about."
-1,"Not as described, waste of money."
1,"Fantastic service, will buy again."
0,"It's okay, nothing special."
-1,Would not recommend this to anyone.
1,Great quality and fast shipping.
1,"Exceeded my expectations, highly recommend!"
1,"Fantastic service, will buy again."
-1,"Not as described, waste of money."
0,"Decent quality, but could be better."
1,"Exceeded my expectations, highly recommend!"
0,"Just an ordinary item, nothing to complain about."
1,I love this product! It's amazing!
0,"Average product, does the job."
0,"It's okay, nothing special."
-1,"Terrible experience, very disappointed."
-1,Customer service was unhelpful.
1,Best purchase I have made in a while!
1,I love this product! It's amazing!
0,"Decent quality, but could be better."
-1,Customer service was unhelpful.
-1,Would not recommend this to anyone.
1,"Fantastic service, will buy again."
0,"Just an ordinary item, nothing to complain about."
0,"Not bad, but not great either."
1,Great quality and fast shipping.
1,Best purchase I have made in a while!
-1,"Not as described, waste of money."
0,"It's okay, nothing special."
1,"Fantastic service, will buy again."
-1,The product broke within a week.
1,Great quality and fast shipping.
1,"Fantastic service, will buy again."
-1,Customer service was unhelpful.
1,I love this product! It's amazing!
1,"Fantastic service, will buy again."
-1,Customer service was unhelpful.
0,"Average product, does the job."
0,"Just an ordinary item, nothing to complain about."
1,"Exceeded my expectations, highly recommend!"
0,"Just an ordinary item, nothing to complain about."
0,"Not bad, but not great either."
-1,Would not recommend this to anyone.
0,"Average product, does the job."
1,"Exceeded my expectations, highly recommend!"
0,"Average product, does the job."
-1,The product broke within a week.
0,"Just an ordinary item, nothing to complain about."
1,Best purchase I have made in a while!
0,"Decent quality, but could be better."
-1,The product broke within a week.
1,I love this product! It's amazing!
1,Great quality and fast shipping.
-1,Customer service was unhelpful.
-1,Would not recommend this to anyone.
1,"Exceeded my expectations, highly recommend!"
0,"Not bad, but not great either."
0,"Not bad, but not great either."
1,"Exceeded my expectations, highly recommend!"
1,Great quality and fast shipping.
-1,Customer service was unhelpful.
0,"Average product, does the job."
1,Great quality and fast shipping.
-1,"Not as described, waste of money."
0,"Average product, does the job."
-1,"Not as described, waste of money."
0,"Average product, does the job."
-1,"Terrible experience, very disappointed."
-1,Customer service was unhelpful.
-1,"Not as described, waste of money."
1,"Exceeded my expectations, highly recommend!"
-1,"Terrible experience, very disappointed."
-1,"Not as described, waste of money."
1,"Fantastic service, will buy again."
0,"Just an ordinary item, nothing to complain about."
0,"Average product, does the job."
1,Best purchase I have made in a while!
-1,Would not recommend this to anyone.
-1,"Not as described, waste of money."
0,"Average product, does the job."
0,"It's okay, nothing special."
-1,Would not recommend this to anyone.
0,"Just an ordinary item, nothing to complain about."
-1,The product broke within a week.
1,I love this product! It's amazing!
1,"Exceeded my expectations, highly recommend!"
0,"Average product, does the job."
1,I love this product! It's amazing!
-1,Customer service was unhelpful.
1,I love this product! It's amazing!
-1,Would not recommend this to anyone.
0,"It's okay, nothing special."
1,Best purchase I have made in a while!
0,"Decent quality, but could be better."
0,"Decent quality, but could be better."
-1,"Not as described, waste of money."
0,"Average product, does the job."
-1,"Terrible experience, very disappointed."
0,"It's okay, nothing special."
-1,"Terrible experience, very disappointed."
1,"Fantastic service, will buy again."
